,date,locality,state,location,location_detail,county_x,claims,valence,issues,size_low,size_high,size_mean,size_cat,lat,lon,resolved_locality,resolved_county,resolved_state,fips_code,month_year,county_y,population,size_mean_over_pop
0,2020-01-05,Joplin,MO,"Joplin, MO",Joplin police headquarters,Jasper,"for justice for David Ingle, against police brutality, for police reform, for more mental health training for police officers",1.0,healthcare; policing,15.0,20.0,18.0,1,37.084227,-94.513281,Joplin,Jasper,MO,29097.0,2020-01-01,Jasper,122761.0,0.00014662637156751738
1,2020-01-06,Waukegan,IL,"Waukegan, IL",City Hall,Lake,"against police brutality, against racism",1.0,policing; racism,20.0,20.0,20.0,1,42.363633,-87.844794,Waukegan,Lake,IL,17097.0,2020-01-01,Lake,714342.0,2.799779377385062e-05
2,2020-01-08,Richmond,VA,"Richmond, VA",Virginia State Capitol,Henrico,for removal of Confederate monuments,1.0,racism,93.0,93.0,93.0,1,37.540725,-77.436048,Richmond,,VA,51760.0,2020-01-01,"Richmond city, Virginia",226610.0,0.0004103967168262654
3,2020-01-10,Los Angeles,CA,"Los Angeles, CA",Watts,Los Angeles,"against presidential candidate Pete Buttigieg, Black Lives Matter",1.0,executive; policing; racism,12.0,12.0,12.0,1,34.052234,-118.243685,Los Angeles,Los Angeles,CA,6037.0,2020-01-01,Los Angeles,10014009.0,1.198321271730433e-06
4,2020-01-10,Barberton,OH,"Barberton, OH",Barberton High School,Summit,"against police brutality, against racism",1.0,policing; racism,2.0,2.0,2.0,1,41.012833,-81.605122,Barberton,Summit,OH,39153.0,2020-01-01,Summit,540428.0,3.700770500418187e-06
9,2020-01-20,Orange,TX,"Orange, TX",outside the Confederate Memorial of the Wind on Martin Luther King Jr. Drive,Orange,"in celebration of Martin Luther King Jr., against Confederate memorial",1.0,racism,6.0,6.0,6.0,1,30.092988,-93.736555,Orange,Orange,TX,48361.0,2020-01-01,Orange,84808.0,7.074804263748703e-05
10,2020-01-23,Hempstead,NY,"Hempstead, NY",outside District Court,Nassau,"against police brutality, against racism",1.0,policing; racism,36.0,36.0,36.0,1,40.706213,-73.61874,Hempstead,Nassau,NY,36059.0,2020-01-01,Nassau,1395774.0,2.579214113459629e-05
11,2020-01-28,Charlotte,NC,"Charlotte, NC",Metro Division of Charlotte-Mecklenburg Police Department,Mecklenburg,"for justice for Harold Jermaine Easter, for police transparency, for independent investigation into death in police custody, against racism",1.0,policing; racism,20.0,30.0,25.0,1,35.227087,-80.843127,Charlotte,Mecklenburg,NC,37119.0,2020-01-01,Mecklenburg,1115482.0,2.2411836318291105e-05
12,2020-02-01,Baldwin,NY,"Baldwin, NY",Baldwin Train Station; Baldwin Police Department,Nassau,"against police brutality, against racial profiling by police",1.0,policing; racism,30.0,50.0,40.0,1,40.668634,-73.611913,Baldwin,Nassau,NY,36059.0,2020-02-01,Nassau,1395774.0,2.8657934593995876e-05
13,2020-02-03,Chester,SC,"Chester, SC",downtown; courthouse,Chester,"for justice for Ariane McCree, against police violence, for police transparency and accountability, against racism",1.0,policing; racism,24.0,24.0,24.0,1,34.704861,-81.214256,Chester,Chester,SC,45023.0,2020-02-01,Chester,32294.0,0.0007431721062736112
14,2020-02-04,Athens,GA,"Athens, GA",University of Georgia,Clarke,"for payment of reparations from University of Georgia to residents of Linnentown neighborhood in 1960s, against white supremacy and systemic racism, against gentrification and displacement",1.0,development; education; foreign affairs; racism,24.0,24.0,24.0,1,33.951935,-83.357567,Athens,Clarke,GA,13059.0,2020-02-01,Clarke,128671.0,0.00018652221557305065
15,2020-02-07,Baltimore,MD,"Baltimore, MD",Roland Park,Baltimore,"against racism in Roland Park, Black Lives Matter, white silence is violence",1.0,policing; racism,100.0,150.0,125.0,2,39.290385,-76.612189,Baltimore,,MD,24510.0,2020-02-01,"Baltimore city, Maryland",585708.0,0.00021341692447431144
17,2020-02-08,Portland,OR,"Portland, OR",Lownsdale Park,Multnomah,anti-KKK,1.0,racism,300.0,300.0,300.0,2,45.505106,-122.675026,Portland,Multnomah,OR,41051.0,2020-02-01,Multnomah,815428.0,0.000367904952981747
18,2020-02-12,Wilmington,DE,"Wilmington, DE",,New Castle,in support of Spanish immersion charter school; against racism,1.0,education; racism,200.0,200.0,200.0,2,39.744655,-75.548391,Wilmington,New Castle,DE,10003.0,2020-02-01,New Castle,570719.0,0.0003504351528510528
19,2020-02-17,Syracuse,NY,"Syracuse, NY",Syracuse University,Onondaga,"for more action against racism at Syracuse University, for disarming university police, for freezing tuition, for changes to the housing selection process for students with disabilities",1.0,democracy; disabled rights; economy; education; housing; policing; racism,30.0,30.0,30.0,1,43.048122,-76.147424,Syracuse,Onondaga,NY,36067.0,2020-02-01,Onondaga,476516.0,6.295696262035273e-05
20,2020-02-19,San Diego,CA,"San Diego, CA",San Diego State University,San Diego,"against Zionism, for Black nationalism",1.0,racism; religion,8.0,8.0,8.0,1,32.715738,-117.161084,San Diego,San Diego,CA,6073.0,2020-02-01,San Diego,3298634.0,2.425246329238103e-06
21,2020-02-19,Tampa,FL,"Tampa, FL",University of South Florida campus,Hillsborough,"for justice for Jamee Johnson, against police brutality, against racism, for higher Black student enrollment at University of South Florida",1.0,education; policing; racism,15.0,15.0,15.0,1,27.950575,-82.457178,Tampa,Hillsborough,FL,12057.0,2020-02-01,Hillsborough,1459762.0,1.0275647674072898e-05
22,2020-02-21,West Haven,CT,"West Haven, CT",West Haven Police Department,New Haven,"for justice for Mubarak Soulemane, against police brutality, against racism",1.0,policing; racism,40.0,40.0,40.0,1,41.270548,-72.946971,West Haven,New Haven,CT,9009.0,2020-02-01,New Haven,864835.0,4.625159712546324e-05
23,2020-02-21,Minneapolis,MN,"Minneapolis, MN",University of Minnesota,Hennepin,seek police accountability; oppose pipeline,1.0,energy; environment; policing,30.0,40.0,35.0,1,44.977753,-93.265011,Minneapolis,Hennepin,MN,27053.0,2020-02-01,Hennepin,1281565.0,2.7310358819100085e-05
26,2020-02-22,Boston,MA,"Boston, MA",Boston Police headquarters,Suffolk,"against white supremacy, against fascism",1.0,democracy; racism,60.0,80.0,70.0,1,42.360082,-71.05888,Boston,Suffolk,MA,25025.0,2020-02-01,Suffolk,797936.0,8.772633394156926e-05
27,2020-02-24,Denton,TX,"Denton, TX",Denton County District Court,Denton,"for justice for Darius Tarver, against police brutality, for police transparency and accountability, Black Lives Matter",1.0,policing; racism,15.0,15.0,15.0,1,33.214841,-97.133068,Denton,Denton,TX,48121.0,2020-02-01,Denton,906422.0,1.6548583330942982e-05
28,2020-02-25,Tampa,FL,"Tampa, FL",library on USF Tampa campus,Hillsborough,for increasing Black student enrollment at University of South Florida,1.0,education; racism,15.0,15.0,15.0,1,27.950575,-82.457178,Tampa,Hillsborough,FL,12057.0,2020-02-01,Hillsborough,1459762.0,1.0275647674072898e-05
30,2020-02-25,Springfield,IL,"Springfield, IL",State Capitol,Sangamon,"against cash bail, against racial discrimination in criminal justice system",1.0,criminal justice; racism,200.0,200.0,200.0,2,39.781721,-89.650148,Springfield,Sangamon,IL,17167.0,2020-02-01,Sangamon,196343.0,0.0010186255685203955
31,2020-02-26,Oak Park,IL,"Oak Park, IL",Oak Park Village Hall,Cook,"for justice for Trayvon Martin, against police violence, against racism",1.0,policing; racism,100.0,100.0,100.0,2,41.885032,-87.784503,Oak Park,Cook,IL,17031.0,2020-02-01,Cook,5275541.0,1.895540191991684e-05
