,name,state,rate
0,Alabama,AL,6.0
1,Alaska,AK,7.7
2,Arizona,AZ,7.7
3,Arkansas,AR,6.2
4,California,CA,10.2
5,Colorado,CO,7.3
6,Connecticut,CT,7.8
7,Delaware,DE,7.8
8,Florida,FL,7.9
9,Georgia,GA,6.6
10,Hawaii,HI,11.7
11,Idaho,ID,5.2
12,Illinois,IL,9.1
13,Indiana,IN,7.1
14,Iowa,IA,5.4
15,Kansas,KS,5.7
16,Kentucky,KY,6.7
17,Louisiana,LA,8.4
18,Maine,ME,5.5
19,Maryland,MD,6.7
20,Massachusetts,MA,9.3
21,Michigan,MI,9.8
22,Minnesota,MN,5.9
23,Mississippi,MS,8.1
24,Missouri,MO,6.1
25,Montana,MT,5.8
26,Nebraska,NE,4.4
27,Nevada,NV,13.0
28,New Hampshire,NH,6.6
29,New Jersey,NJ,9.6
30,New Mexico,NM,8.6
31,New York,NY,9.9
32,North Carolina,NC,7.1
33,North Dakota,ND,5.0
34,Ohio,OH,8.3
35,Oklahoma,OK,6.2
36,Oregon,OR,7.8
37,Pennsylvania,PA,9.0
38,Rhode Island,RI,9.3
39,South Carolina,SC,6.2
40,South Dakota,SD,4.5
41,Tennessee,TN,7.7
42,Texas,TX,7.5
43,Utah,UT,4.9
44,Vermont,VT,5.6
45,Virginia,VA,6.3
46,Washington,WA,8.3
47,West Virginia,WV,8.1
48,Wisconsin,WI,6.4
49,Wyoming,WY,5.9
