quantity_added,date
1,2008-01-01
1,2008-02-04
1,2009-05-05
1,2009-11-18
1,2010-11-01
1,2011-05-17
1,2011-09-27
11,2011-10-01
1,2012-02-21
1,2012-11-14
1,2012-12-01
1,2013-03-31
1,2013-08-02
2,2013-09-01
1,2013-10-08
2,2013-10-14
2,2013-11-01
1,2013-12-12
1,2013-12-29
1,2014-01-17
1,2014-01-24
1,2014-02-01
1,2014-02-16
1,2014-04-01
1,2014-04-15
1,2014-06-15
1,2014-07-11
1,2014-08-15
1,2014-09-26
1,2014-10-10
1,2014-10-12
1,2014-10-21
1,2014-10-24
1,2014-11-07
1,2014-11-14
1,2014-11-19
1,2014-11-21
1,2014-12-05
1,2014-12-12
1,2014-12-17
2,2014-12-18
1,2014-12-19
1,2015-01-23
1,2015-02-01
1,2015-02-13
1,2015-02-15
1,2015-02-27
2,2015-03-06
2,2015-03-15
1,2015-03-22
1,2015-04-16
1,2015-04-17
3,2015-04-22
1,2015-05-10
1,2015-05-17
2,2015-05-22
1,2015-05-29
1,2015-05-31
1,2015-06-01
1,2015-06-15
1,2015-06-23
1,2015-06-26
1,2015-06-29
1,2015-06-30
1,2015-07-07
1,2015-07-10
1,2015-07-14
2,2015-07-15
1,2015-07-17
1,2015-07-31
1,2015-08-05
1,2015-08-14
1,2015-09-02
2,2015-09-08
1,2015-09-15
1,2015-09-18
1,2015-09-22
1,2015-09-29
1,2015-10-01
1,2015-10-02
1,2015-10-09
2,2015-10-10
1,2015-10-14
3,2015-10-16
1,2015-10-22
1,2015-10-23
1,2015-10-25
1,2015-10-27
1,2015-10-31
1,2015-11-03
2,2015-11-13
1,2015-11-18
3,2015-12-01
1,2015-12-02
1,2015-12-04
1,2015-12-09
1,2015-12-11
3,2015-12-15
1,2015-12-17
1,2015-12-18
3,2015-12-20
2,2015-12-25
1,2015-12-26
1,2015-12-28
2,2015-12-31
33,2016-01-01
1,2016-01-08
1,2016-01-13
2,2016-01-15
1,2016-01-22
1,2016-01-23
4,2016-01-28
2,2016-02-01
1,2016-02-04
3,2016-02-05
1,2016-02-06
1,2016-02-08
1,2016-02-14
2,2016-02-18
1,2016-02-19
1,2016-02-24
2,2016-02-26
4,2016-03-01
1,2016-03-02
1,2016-03-07
1,2016-03-09
